"","RailID","ID_topo","from_km","to_km","Altura","Lado"
"1",1,1,0,1.91,15,"E"
"2",1,2,1.91,2.23,-3,"E"
"3",1,3,2.23,2.27,0,"E"
"4",1,4,2.27,2.84,7,"E"
"5",1,5,2.84,2.88,-2.5,"E"
"6",1,6,2.88,2.9,0,"E"
"7",1,7,2.9,3.1,11,"E"
"8",1,8,3.1,3.2,-3,"E"
"9",1,9,3.2,4.3,21,"E"
"10",1,10,4.3,4.755,-8,"E"
"11",1,11,4.755,4.799,0,"E"
"12",1,12,4.799,6.302,-10,"E"
"13",1,13,6.302,6.353,0,"E"
"14",1,14,6.353,6.78,-9,"E"
"15",1,15,6.78,6.82,0,"E"
"16",1,16,6.82,7.43,11.8,"E"
"17",1,17,7.43,7.64,-1,"E"
"18",1,18,7.64,8.17,21,"E"
"19",1,19,8.17,9.06,-2,"E"
"20",1,20,9.06,9.47,9,"E"
"21",1,21,9.47,9.86,-1,"E"
"22",1,22,9.86,9.87,0,"E"
"23",1,23,9.87,11.12,8,"E"
"24",1,24,11.12,11.4,-1,"E"
"25",1,25,11.4,11.62,15,"E"
"26",1,26,11.62,11.8,-1,"E"
"27",1,27,11.8,12.1,9,"E"
"28",1,28,12.1,12.2,-3,"E"
"29",1,29,12.2,12.215,0,"E"
"30",1,30,12.215,12.73,20,"E"
"31",1,31,12.73,12.8,0,"E"
"32",1,32,12.8,13.2,-8,"E"
"33",1,33,13.2,13.57,10,"E"
"34",1,34,13.57,14.908,-8,"E"
"35",1,35,14.908,15.03,0,"E"
"36",1,36,15.03,15.9,-13,"E"
"37",1,37,15.9,16.61,6,"E"
"38",1,38,16.61,16.69,-1.5,"E"
"39",1,39,16.69,16.73,3,"E"
"40",1,40,16.73,16.86,0,"E"
"41",1,41,16.86,17.53,-1,"E"
"42",1,42,17.53,18.3,8,"E"
"43",1,43,18.3,18.479,-11,"E"
"44",1,44,18.479,18.733,0,"E"
"45",1,45,18.733,42.56,-1,"E"
"46",1,46,42.56,42.95,12,"E"
"47",1,47,42.95,44.213,-1,"E"
"48",1,48,44.213,47.48,-2,"E"
"49",1,49,47.48,47.9,11,"E"
"50",1,50,47.9,49.431,-6,"E"
"51",1,51,49.431,49.5,0,"E"
"52",1,52,49.5,50.33,-6,"E"
"53",1,53,50.33,50.36,0,"E"
"54",1,54,50.36,50.43,9,"E"
"55",1,55,50.43,50.48,-2,"E"
"56",1,56,50.48,50.9,11,"E"
"57",1,57,50.9,50.98,0,"E"
"58",1,58,50.98,51.99,-3.5,"E"
"59",1,59,51.99,52.28,3,"E"
"60",1,60,52.25,52.31,0,"E"
"61",1,61,52.28,52.25,-1.5,"E"
"62",1,62,52.31,52.515,-1.5,"E"
"63",1,63,52.39,52.53,0,"E"
"64",1,64,52.515,52.39,2,"E"
"65",1,65,52.53,52.68,1.5,"E"
"66",1,66,52.68,52.9,-2,"E"
"67",1,67,52.9,53.015,8,"E"
"68",1,68,53.015,53.05,0,"E"
"69",1,69,53.05,53.27,-1.5,"E"
"70",1,70,53.27,53.325,0,"E"
"71",1,71,53.325,53.87,12,"E"
"72",1,72,53.41,53.91,0,"E"
"73",1,73,53.87,53.41,-3.5,"E"
"74",1,74,53.91,56.03,-1,"E"
"75",1,75,56.03,56.19,2.8,"E"
"76",1,76,56.19,56.2,0,"E"
"77",1,77,56.2,56.54,-1,"E"
"78",1,78,56.54,56.58,0,"E"
"79",1,79,56.58,56.79,2,"E"
"80",1,80,56.68,56.79,0,"E"
"81",1,81,56.79,56.68,3,"E"
"82",1,82,56.79,56.94,-2.5,"E"
"83",1,83,56.94,57.07,2,"E"
"84",1,84,57.07,57.1,0,"E"
"85",1,85,57.1,57.28,-2,"E"
"86",1,86,57.28,57.315,0,"E"
"87",1,87,57.315,57.68,2,"E"
"88",1,88,57.68,58.11,-3,"E"
"89",1,89,58.11,58.35,2,"E"
"90",1,90,58.35,58.54,-3,"E"
"91",1,91,58.54,58.89,0,"E"
"92",1,92,58.89,60.4,-2,"E"
"93",1,93,60.4,60.65,3,"E"
"94",1,94,60.65,60.66,0,"E"
"95",1,95,60.66,62.51,-1,"E"
"96",1,96,62.51,62.52,0,"E"
"97",1,97,62.52,63.25,4,"E"
"98",1,98,63.25,63.55,-1,"E"
"99",1,99,63.55,63.88,5,"E"
"100",1,100,63.88,63.89,0,"E"
"101",1,101,63.89,63.96,-1,"E"
"102",1,102,63.96,64.57,6,"E"
"103",1,103,64.57,64.915,-2,"E"
"104",1,104,64.915,65.86,4.5,"E"
"105",1,105,65.86,66.12,-2,"E"
"106",1,106,66.12,66.19,3,"E"
"107",1,107,66.19,67.27,-1.5,"E"
"108",1,108,67.27,67.36,5,"E"
"109",1,109,67.36,67.39,-1.5,"E"
"110",1,110,67.39,67.56,3,"E"
"111",1,111,67.56,67.59,-1,"E"
"112",1,112,67.59,67.85,2,"E"
"113",1,113,67.85,68.41,-2,"E"
"114",1,114,68.41,69.1,3,"E"
"115",1,115,69.1,70.21,-3.5,"E"
"116",1,116,70.21,70.5,2.5,"E"
"117",1,117,70.5,70.54,-2,"E"
"118",1,118,70.54,71.04,5,"E"
"119",1,119,71.04,71.12,-1,"E"
"120",1,120,71.12,71.86,1,"E"
"121",1,121,71.86,72.78,-1,"E"
"122",1,122,72.78,73.04,3,"E"
"123",1,123,73.04,73.14,-1.5,"E"
"124",1,124,73.14,73.28,2,"E"
"125",1,125,73.28,74.44,-2,"E"
"126",1,126,74.44,76.06,8,"E"
"127",1,127,76.06,76.16,-2,"E"
"128",1,128,76.16,76.31,7,"E"
"129",1,129,76.31,76.35,-3.5,"E"
"130",1,130,76.35,76.48,6,"E"
"131",1,131,76.48,76.78,-2,"E"
"132",1,132,76.78,76.89,7,"E"
"133",1,133,76.89,77.51,-2,"E"
"134",1,134,77.51,77.66,4,"E"
"135",1,135,77.66,78.505,-1.5,"E"
"136",1,136,78.505,78.8,4,"E"
"137",1,137,78.8,80.08,-1,"E"
"138",1,138,80.08,80.41,3,"E"
"139",1,139,80.41,80.47,-2,"E"
"140",1,140,80.47,80.715,2,"E"
"141",1,141,80.715,81.39,-1,"E"
"142",1,142,81.39,82.015,2,"E"
"143",1,143,82.015,82.33,-2,"E"
"144",1,144,82.33,82.63,2,"E"
"145",1,145,82.63,82.96,-2,"E"
"146",1,146,82.96,83.43,1,"E"
"147",1,147,83.43,84.285,-1.5,"E"
"148",1,148,84.285,84.445,2,"E"
"149",1,149,84.445,85.1,-1,"E"
"150",1,150,85.1,85.55,3,"E"
"151",1,151,85.55,85.67,-1.5,"E"
"152",1,152,85.67,85.87,4,"E"
"153",1,153,85.87,86.22,-1,"E"
"154",1,154,86.22,86.7,1,"E"
"155",1,155,86.7,87.21,-1.5,"E"
"156",1,156,87.21,87.47,1,"E"
"157",1,157,87.47,87.79,-1,"E"
"158",1,158,87.79,87.89,2,"E"
"159",1,159,87.89,90.05,-1,"E"
"160",1,160,90.05,90.52,1.8,"E"
"161",1,161,90.52,91.3,-1.5,"E"
"162",1,162,91.3,91.72,2,"E"
"163",1,163,91.72,92.2,-1,"E"
"164",1,164,92.2,92.35,2.5,"E"
"165",1,165,92.35,92.71,-1,"E"
"166",1,166,92.71,93.09,3,"E"
"167",1,167,93.09,95.67,-2,"E"
"168",1,168,95.67,95.76,1,"E"
"169",1,169,95.76,95.8,-1,"E"
"170",1,170,95.8,95.91,1,"E"
"171",1,171,95.91,95.97,-1,"E"
"172",1,172,95.97,96.03,4,"E"
"173",1,173,96.03,98.01,-1,"E"
"174",1,174,98.01,98.24,4,"E"
"175",1,175,98.24,99.33,-1.5,"E"
"176",1,176,99.33,99.7,6,"E"
"177",1,177,99.7,99.76,-1.5,"E"
"178",1,178,99.76,100.03,0,"E"
"179",1,179,100.03,102.87,-3,"E"
"180",1,180,102.87,103.03,0,"E"
"181",1,181,103.03,103.19,-2,"E"
"182",1,182,103.19,103.33,0,"E"
"183",1,183,103.33,103.97,-4.5,"E"
"184",1,184,103.97,104.11,0,"E"
"185",1,185,104.11,104.92,-6.5,"E"
"186",1,186,104.92,105.05,0,"E"
"187",1,187,105.05,105.38,-3.5,"E"
"188",1,188,105.38,106.51,7,"E"
"189",1,189,106.51,106.65,-2.5,"E"
"190",1,190,106.65,106.75,0,"E"
"191",1,191,106.75,107.99,-2.5,"E"
"192",1,192,107.99,108.55,3.5,"E"
"193",1,193,108.55,108.74,-1,"E"
"194",1,194,108.74,109.76,4.5,"E"
"195",1,195,109.76,112.213,-5,"E"
"196",1,196,112.213,112.316,0,"E"
"197",1,197,112.316,114.85,-1.5,"E"
"198",1,198,114.85,115.45,0,"E"
"199",1,199,115.45,115.76,-2,"E"
"200",1,200,115.76,116.35,0,"E"
"201",1,201,116.35,116.87,-1,"E"
"202",1,202,116.87,117,0,"E"
"203",1,203,117,118.4,-1.5,"E"
"204",1,204,118.4,118.88,0,"E"
"205",1,205,118.88,119.07,-1.7,"E"
"206",1,206,119.07,119.74,4,"E"
"207",1,207,119.74,121.64,-1.5,"E"
"208",1,208,121.64,122.4,0,"E"
"209",1,209,122.4,123.957,-1.7,"E"
"210",1,210,123.957,124.05,0,"E"
"211",1,211,124.05,124.3,-4,"E"
"212",1,212,124.3,124.45,0,"E"
"213",1,213,124.45,124.619,-2,"E"
"214",1,214,124.619,124.682,0,"E"
"215",1,215,124.682,125.17,-2,"E"
"216",1,216,125.17,125.28,6,"E"
"217",1,217,125.28,125.61,-1.3,"E"
"218",1,218,125.61,125.78,0,"E"
"219",1,219,125.78,126.3,-1,"E"
"220",1,220,126.3,127.24,0,"E"
"221",1,221,127.24,127.29,-1.2,"E"
"222",1,222,127.29,127.8,0,"E"
"223",1,223,127.8,128.25,-2,"E"
"224",1,224,128.25,128.34,0,"E"
"225",1,225,128.34,128.4,-2,"E"
"226",1,226,128.4,128.58,0,"E"
"227",1,227,128.58,128.61,-1.2,"E"
"228",1,228,128.61,128.7,0,"E"
"229",1,229,128.7,128.88,-1,"E"
"230",1,230,128.88,129.25,0,"E"
"231",1,231,129.25,129.27,-1.8,"E"
"232",1,232,129.27,129.6,0,"E"
"233",1,233,129.6,129.63,-1.5,"E"
"234",1,234,129.63,130.15,0,"E"
"235",1,235,130.15,130.64,-1.7,"E"
"236",1,236,130.64,130.93,0,"E"
"237",1,237,130.93,131.591,-3.5,"E"
"238",1,238,131.591,131.736,0,"E"
"239",1,239,131.736,139.23,-10,"E"
"240",1,240,139.23,140.8,0,"E"
"241",1,241,140.8,142.107,-15,"E"
"242",1,242,142.107,142.457,0,"E"
"243",1,243,142.457,142.808,-7.5,"E"
"244",1,244,142.808,143.186,0,"E"
"245",1,245,143.186,144.41,-3.5,"E"
"246",1,246,144.41,144.83,8.5,"E"
"247",1,247,144.83,145.19,-3.5,"E"
"248",1,248,145.19,145.44,11,"E"
"249",1,249,145.44,145.755,-3,"E"
"250",1,250,145.755,145.88,4.5,"E"
"251",1,251,145.88,146.81,-2.5,"E"
"252",1,252,146.81,147.38,-2.5,"E"
"253",1,253,147.38,147.935,4.5,"E"
"254",1,254,147.935,148.35,-7,"E"
"255",1,255,148.35,148.55,4,"E"
"256",1,256,148.55,148.74,-1,"E"
"257",1,257,148.74,148.86,5,"E"
"258",1,258,148.86,148.99,-1,"E"
"259",1,259,148.99,149.25,6,"E"
"260",1,260,149.25,149.47,-4.5,"E"
"261",1,261,149.47,149.76,8.5,"E"
"262",1,262,149.76,149.93,-1,"E"
"263",1,263,149.93,150.1,0,"E"
"264",1,264,150.1,150.985,-4,"E"
"265",1,265,150.985,151.44,3,"E"
"266",1,266,151.44,151.53,-1,"E"
"267",1,267,151.53,151.68,0,"E"
"268",1,268,151.68,151.77,-1,"E"
"269",1,269,151.77,151.92,3,"E"
"270",1,270,151.92,151.99,-1,"E"
"271",1,271,151.99,152.345,0,"E"
"272",1,272,152.345,152.395,-1,"E"
"273",1,273,152.395,152.735,0,"E"
"274",1,274,152.735,152.78,-1,"E"
"275",1,275,152.78,152.88,0,"E"
"276",1,276,152.88,153.27,-1.5,"E"
"277",1,277,153.27,153.48,0,"E"
"278",1,278,153.48,154.25,-2,"E"
"279",1,279,154.25,155.145,5,"E"
"280",1,280,155.145,155.685,-2,"E"
"281",1,281,155.685,155.8,0,"E"
"282",1,282,155.8,156.285,-4,"E"
"283",1,283,156.285,156.68,5,"E"
"284",1,284,156.68,157.018,-3,"E"
"285",1,285,157.018,157.23,5,"E"
"286",1,286,157.23,157.29,-1.5,"E"
"287",1,287,157.29,157.36,0,"E"
"288",1,288,157.36,158.07,-2.5,"E"
"289",1,289,158.07,158.59,0,"E"
"290",1,290,158.59,158.65,-1.7,"E"
"291",1,291,158.65,158.81,0,"E"
"292",1,292,158.81,159.864,-1.2,"E"
"293",1,293,159.864,160.725,0,"E"
"294",1,294,160.725,161.22,-2,"E"
"295",1,295,161.22,161.63,6,"E"
"296",1,296,161.63,161.735,-2,"E"
"297",1,297,161.735,161.904,0,"E"
"298",1,298,161.904,161.955,-1,"E"
"299",1,299,161.955,162.125,0,"E"
"300",1,300,162.125,162.155,-1.6,"E"
"301",1,301,162.155,162.52,0,"E"
"302",1,302,162.52,163.275,-2.5,"E"
"303",1,303,163.275,163.725,0,"E"
"304",1,304,163.725,163.8,-1.1,"E"
"305",1,305,163.8,164.605,0,"E"
"306",1,306,164.605,164.72,-1.25,"E"
"307",1,307,164.72,165.565,0,"E"
"308",1,308,165.565,166.514,-4,"E"
"309",1,309,166.514,166.594,0,"E"
"310",1,310,166.594,166.77,-2,"E"
"311",1,311,166.77,166.83,0,"E"
"312",1,312,166.83,167.57,-2.5,"E"
"313",1,313,167.57,167.918,0,"E"
"314",1,314,167.918,168.185,-1,"E"
"315",1,315,168.185,168.635,8,"E"
"316",1,316,168.635,169.1,-1.3,"E"
"317",1,317,169.1,169.655,0,"E"
"318",1,318,169.655,169.9,-1.5,"E"
"319",1,319,169.9,170.335,4.5,"E"
"320",1,320,170.335,170.49,-3,"E"
"321",1,321,170.49,170.61,0,"E"
"322",1,322,170.61,170.875,-2.5,"E"
"323",1,323,170.875,171.063,0,"E"
"324",1,324,171.063,171.245,-1.5,"E"
"325",1,325,171.245,171.43,0,"E"
"326",1,326,171.43,172.1,-4,"E"
"327",1,327,172.1,172.465,4.5,"E"
"328",1,328,172.465,172.563,-1,"E"
"329",1,329,172.563,173.162,0,"E"
"330",1,330,173.162,173.268,-1,"E"
"331",1,331,173.268,174,0,"E"
"332",1,332,174,174.215,-3.5,"E"
"333",1,333,174.215,174.314,0,"E"
"334",1,334,174.314,174.605,-3.5,"E"
"335",1,335,174.605,175.17,0,"E"
"336",1,336,175.17,175.27,-3.5,"E"
"337",1,337,175.27,175.428,0,"E"
"338",1,338,175.428,175.675,-3.5,"E"
"339",1,339,175.675,175.906,5.5,"E"
"340",1,340,175.906,176.015,-2.5,"E"
"341",1,341,176.015,176.286,0,"E"
"342",1,342,176.286,176.402,-1,"E"
"343",1,343,176.402,177,0,"E"
"344",1,344,177,177.305,-2.5,"E"
"345",1,345,177.305,177.39,0,"E"
"346",1,346,177.39,177.54,-1,"E"
"347",1,347,177.54,177.72,0,"E"
"348",1,348,177.72,177.93,-3,"E"
"349",1,349,177.93,178.58,5,"E"
"350",1,350,178.58,178.744,-1.5,"E"
"351",1,351,178.744,179,0,"E"
"352",1,352,179,179.358,-1.5,"E"
"353",1,353,179.358,179.97,0,"E"
"354",1,354,179.97,180.365,-3.5,"E"
"355",1,355,180.365,180.59,0,"E"
"356",1,356,180.59,181.21,-4.5,"E"
"357",1,357,181.21,181.3,0,"E"
"358",1,358,181.3,181.71,-4.5,"E"
"359",1,359,181.71,181.75,0,"E"
"360",1,360,181.75,181.83,-1,"E"
"361",1,361,181.83,181.92,0,"E"
"362",1,362,181.92,182,-1,"E"
"363",1,363,182,182.184,0,"E"
"364",1,364,182.184,182.244,-2,"E"
"365",1,365,182.244,183.312,8,"E"
"366",1,366,183.312,183.4,-1,"E"
"367",1,367,183.4,183.88,0,"E"
"368",1,368,183.88,184.224,-1.5,"E"
"369",1,369,184.224,184.436,0,"E"
"370",1,370,184.436,184.66,-2.5,"E"
"371",1,371,184.66,184.825,0,"E"
"372",1,372,184.825,185.25,-1,"E"
"373",1,373,185.25,186.78,5,"E"
"374",1,374,186.78,187.22,-2,"E"
"375",1,375,187.22,187.54,0,"E"
"376",1,376,187.54,187.64,-1.5,"E"
"377",1,377,187.64,188.24,7,"E"
"378",1,378,188.24,188.58,-1.5,"E"
"379",1,379,188.58,189.05,5,"E"
"380",1,380,189.05,189.11,-2,"E"
"381",1,381,189.11,189.475,5,"E"
"382",1,382,189.475,189.64,-1.5,"E"
"383",1,383,189.64,189.74,0,"E"
"384",1,384,189.74,189.804,-1,"E"
"385",1,385,189.804,189.93,0,"E"
"386",1,386,189.93,189.974,-1.7,"E"
"387",1,387,189.974,190.09,0,"E"
"388",1,388,190.09,190.154,-2,"E"
"389",1,389,190.154,190.234,0,"E"
"390",1,390,190.234,190.3,-1,"E"
"391",1,391,190.3,190.454,0,"E"
"392",1,392,190.454,190.568,-1.5,"E"
"393",1,393,190.568,190.652,0,"E"
"394",1,394,190.652,190.714,-1.8,"E"
"395",1,395,190.714,190.84,5,"E"
"396",1,396,190.84,190.995,-4,"E"
"397",1,397,190.995,191.46,5.5,"E"
"398",1,398,191.46,191.672,-8,"E"
"399",1,399,191.672,191.86,1.8,"E"
"400",1,400,191.86,191.914,-3.5,"E"
"401",1,401,191.914,192.12,1.6,"E"
"402",1,402,192.12,192.243,-2.5,"E"
"403",1,403,192.243,192.384,1.4,"E"
"404",1,404,192.384,192.65,-3,"E"
"405",1,405,192.65,192.886,5,"E"
"406",1,406,192.886,194.04,-4,"E"
"407",1,407,194.04,194.2,2.8,"E"
"408",1,408,194.2,194.734,-1.6,"E"
"409",1,409,194.734,195.53,3,"E"
"410",1,410,195.53,196.23,-1.8,"E"
"411",1,411,196.23,196.43,2.8,"E"
"412",1,412,196.43,196.7,-2,"E"
"413",1,413,196.7,196.88,2.8,"E"
"414",1,414,196.88,197.126,-2.5,"E"
"415",1,415,197.126,197.336,2,"E"
"416",1,416,197.336,197.4,-2,"E"
"417",1,417,197.4,198.078,3,"E"
"418",1,418,198.078,198.554,-1.5,"E"
"419",1,419,198.554,198.716,1,"E"
"420",1,420,198.716,200.16,-4.5,"E"
"421",1,421,200.16,200.608,5,"E"
"422",1,422,200.608,200.69,-2.5,"E"
"423",1,423,200.69,200.81,5,"E"
"424",1,424,200.81,200.846,-1.5,"E"
"425",1,425,200.846,200.99,2,"E"
"426",1,426,200.99,201.8,-3.8,"E"
"427",1,427,201.8,201.84,0,"E"
"428",1,428,201.84,202.182,3.5,"E"
"429",1,429,202.182,202.2,0,"E"
"430",1,430,202.2,202.4,-3.6,"E"
"431",1,431,202.4,202.684,3,"E"
"432",1,432,202.684,202.811,-2,"E"
"433",1,433,202.811,202.881,0,"E"
"434",1,434,202.881,205.3,-4.5,"E"
"435",1,435,205.3,205.82,2,"E"
"436",1,436,205.82,205.86,-1.8,"E"
"437",1,437,205.86,206.5,7,"E"
"438",1,438,206.5,206.7,-1,"E"
"439",1,439,206.7,206.8,1.5,"E"
"440",1,440,206.8,207.076,-1.5,"E"
"441",1,441,207.076,207.11,NA,"E"
"442",1,442,207.11,207.746,-2.5,"E"
"443",1,443,207.746,208,2.5,"E"
"444",1,444,208,208.066,-2,"E"
"445",1,445,208.066,208.32,4,"E"
"446",1,446,208.32,208.5,-3,"E"
"447",1,447,208.5,209.43,4.5,"E"
"448",1,448,209.43,210.4,-2,"E"
"449",1,449,210.4,210.944,5,"E"
"450",1,450,210.944,210.99,-2,"E"
"451",1,451,210.99,211,0,"E"
"452",1,452,211,211.182,4.5,"E"
"453",1,453,211.182,211.23,-1.5,"E"
"454",1,454,211.23,211.64,2.5,"E"
"455",1,455,211.64,211.654,-1.4,"E"
"456",1,456,211.654,211.73,2,"E"
"457",1,457,211.73,213,-1.4,"E"
"458",1,458,213,213.16,2,"E"
"459",1,459,213.16,213.38,NA,"E"
"460",1,460,213.38,213.58,1.5,"E"
"461",1,461,213.58,214.12,NA,"E"
"462",1,462,214.12,214.38,3,"E"
"463",1,463,214.38,214.557,-1.5,"E"
"464",1,464,214.557,214.86,-1.5,"E"
"465",1,465,214.86,215.235,3,"E"
"466",1,466,215.235,215.274,-1.8,"E"
"467",1,467,215.274,215.55,3,"E"
"468",1,468,215.55,215.78,-1.5,"E"
"469",1,469,215.78,215.81,0,"E"
"470",1,470,215.81,217.41,10,"E"
"471",1,471,217.41,219.253,-7,"E"
"472",1,472,219.253,219.393,0,"E"
"473",1,473,219.393,220.85,-7,"E"
"474",1,474,220.85,221.08,6,"E"
"475",1,475,221.08,221.38,-1.5,"E"
"476",1,476,221.38,221.88,0,"E"
"477",1,477,221.88,222,2.5,"E"
"478",1,478,222,222.07,-1.5,"E"
"479",1,479,222.07,222.22,2.5,"E"
"480",1,480,222.22,222.6,-1.5,"E"
"481",1,481,222.6,222.7,1.5,"E"
"482",1,482,222.7,222.785,-2,"E"
"483",1,483,222.785,223.34,7,"E"
"484",1,484,223.34,223.78,-3.5,"E"
"485",1,485,223.78,223.95,6.5,"E"
"486",1,486,223.95,224.147,-3.5,"E"
"487",1,487,224.147,224.52,9,"E"
"488",1,488,224.52,225,-4,"E"
"489",1,489,225,225.591,13,"E"
"490",1,490,225.591,225.63,-3,"E"
"491",1,491,225.63,225.73,0,"E"
"492",1,492,225.73,225.93,4,"E"
"493",1,493,225.93,226.555,-3,"E"
"494",1,494,226.555,226.83,0,"E"
"495",1,495,226.83,228.365,-3,"E"
"496",1,496,228.365,228.465,2,"E"
"497",1,497,228.465,228.6,-2.5,"E"
"498",1,498,228.6,228.74,3,"E"
"499",1,499,228.74,229,-3,"E"
"500",1,500,229,229.59,3,"E"
"501",1,501,229.59,229.65,-3,"E"
"502",1,502,229.65,229.71,8,"E"
"503",1,503,229.71,230.12,-3.5,"E"
"504",1,504,230.12,231.5,0,"E"
"505",1,505,231.5,231.98,26,"E"
"506",1,506,231.98,232.05,0,"E"
"507",1,507,232.05,232.17,NA,"E"
"508",1,508,232.17,232.18,0,"E"
"509",1,509,232.18,232.64,-4,"E"
"510",1,510,232.64,232.76,8,"E"
"511",1,511,232.76,233.1,-3,"E"
"512",1,512,233.1,233.22,3,"E"
"513",1,513,233.22,233.99,-3,"E"
"514",1,514,233.99,234.57,12,"E"
"515",1,515,234.57,234.67,-1.5,"E"
"516",1,516,234.67,234.95,14,"E"
"517",1,517,234.95,235.01,-2,"E"
"518",1,518,235.01,235.165,12,"E"
"519",1,519,235.165,235.2,-1.5,"E"
"520",1,520,235.2,235.47,8,"E"
"521",1,521,235.47,235.58,-1.5,"E"
"522",1,522,235.58,235.902,13,"E"
"523",1,523,235.902,236.14,-4,"E"
"524",1,524,236.14,236.18,2,"E"
"525",1,525,236.18,236.9,-3.8,"E"
"526",1,526,236.9,237.51,16,"E"
"527",1,527,237.51,237.73,-3.5,"E"
"528",1,528,237.73,238.04,16,"E"
"529",1,529,238.04,238.18,-3,"E"
"530",1,530,238.18,238.26,18,"E"
"531",1,531,238.26,238.58,-3,"E"
"532",1,532,238.58,238.71,6,"E"
"533",1,533,238.71,239.2,-3,"E"
"534",1,534,239.2,239.28,3,"E"
"535",1,535,239.28,239.84,0,"E"
"536",1,536,239.84,240,-3,"E"
"537",1,537,240,240.14,NA,"E"
"538",1,538,240.14,240.38,3,"E"
"539",1,539,240.38,240.38,NA,"E"
"540",1,540,240.38,240.43,-2,"E"
"541",1,541,240.43,240.68,3,"E"
"542",1,542,240.68,241.75,-3,"E"
"543",1,543,241.75,242.04,38,"E"
"544",1,544,242.04,242.1,-1.5,"E"
"545",1,545,242.1,242.4,15,"E"
"546",1,546,242.4,243.46,-3,"E"
"547",1,547,243.46,243.85,5,"E"
"548",1,548,243.85,244,-2,"E"
"549",1,549,244,244.17,13,"E"
"550",1,550,244.17,244.36,-2,"E"
"551",1,551,244.36,244.59,3,"E"
"552",1,552,244.59,244.86,-2,"E"
"553",1,553,244.86,245.2,12,"E"
"554",1,554,245.2,245.23,0,"E"
"555",1,555,245.23,245.78,-4,"E"
"556",1,556,245.78,247.64,6,"E"
"557",1,557,245.98,247.37,-5,"E"
"558",1,558,247.37,247.64,0,"E"
"559",1,559,247.64,245.98,2.5,"E"
"560",1,560,247.64,247.71,-3,"E"
"561",1,561,247.71,247.85,8,"E"
"562",1,562,247.85,247.884,-8,"E"
"563",1,563,247.884,247.942,0,"E"
"564",1,564,247.942,248.1,-8,"E"
"565",1,565,248.1,248.58,8,"E"
"566",1,566,248.58,249.16,-1.8,"E"
"567",1,567,249.16,249.715,5,"E"
"568",1,568,249.715,249.88,-1.8,"E"
"569",1,569,249.88,249.95,2,"E"
"570",1,570,249.95,250.25,-3,"E"
"571",1,571,250.25,250.84,2,"E"
"572",1,572,250.84,251.28,-2,"E"
"573",1,573,251.28,251.785,10,"E"
"574",1,574,251.785,251.94,0,"E"
